FIPS,opc,socialcap,sk2014,civic_organizations_county,race_per_white_nonhispanic,per_poverty,college_educ
01001,0.3837125315998555,1.1682523488998413,-0.631003349820884,0.01518,0.7460274467316721,0.23371326608644985,0.5492814515481574
01003,0.3101066578959733,1.1616458892822266,-0.555396005553432,0.01526,0.8307240520603298,0.18435439704605516,0.6314654031446875
01005,0.6013169827688183,1.005691409111023,-0.891036085245392,0.01474,0.4581049643152872,0.42945086318419057,0.37608550434201743
01007,0.3556662072644823,1.056340575218201,-0.906581520515335,0.01439,0.7452540790468145,0.2775300504071345,0.3417862444334488
01009,0.16903313049357674,1.07232928276062,-1.01327973532267,0.017240001,0.8689343111249805,0.25077046998669184,0.47068432560126666
01011,0.24395003903200624,1.0599985122680664,-0.502400203496807,0.0097500002,0.21379781420765023,0.37244480784955025,0.34403605126038583
01013,0.47912043574742785,1.0353672504425049,-0.339173133162401,0.01286,0.5160379261650192,0.364431934493347,0.39865402706418696
01015,0.3337172171910171,1.166879653930664,-0.351892125655991,0.01739,0.7207244935350469,0.2902583780100769,0.5164205895737473
01017,0.29708853238265004,1.0242724418640137,-0.366730950231846,0.01098,0.5554664289958408,0.2982207050720479,0.4488629198368994
01019,0.3957070609581902,1.1172361373901367,-1.05214332349753,0.017960001,0.9172296645176234,0.2965077626999335,0.4131609621701812
01021,0.2496878901373283,1.050445795059204,-0.599205868586909,0.01515,0.8013165361479968,0.31422979507253046,0.37356054050455967
01023,0.5415860735009671,1.0726251602172852,0.763139549615403,0.01217,0.5637911025145068,0.34966960352422904,0.43702433272590846
01025,0.22795092838196288,0.976106822490692,0.4119540346535,0.01082,0.5271883289124668,0.34708820044015576,0.3879546809779368
01027,0.28117267751368374,1.076673984527588,-0.963110376042402,0.01335,0.803554022643773,0.3321327304774312,0.3887303097579025
01029,0.13408420488066505,1.1079320907592771,-1.18003985912752,0.0188,0.9269241083400376,0.2701447691887462,0.4105524282034157
01031,0.29034880569857924,1.1379109621047974,-0.48402832545051,0.01115,0.7014633579807208,0.23409564226492197,0.5868302496245714
01033,0.38797904000292127,1.1508344411849976,-0.244487300154564,0.01223,0.7819831662741231,0.24539153517180357,0.47321543160758744
01035,0.1411973535581733,0.9901224970817566,-0.602738922057351,0.01334,0.5004841052121994,0.34877472930065945,0.3320502660477754
01037,0.16268476340987265,1.0566476583480835,-0.669160327301654,0.0142,0.6479501719810355,0.27325412923790204,0.3971425111999032
01039,0.3024193548387097,1.097917079925537,-0.460003561851507,0.01542,0.8329032258064516,0.29803565533179266,0.4611381249050296
01041,0.1625252817104883,1.081839919090271,-0.83662706180059,0.01466,0.7098381970528749,0.2906848711737503,0.3966976264189887
01043,0.2957044403944335,1.123248815536499,-0.763139549615403,0.0122,0.9188442180729726,0.2482199100457124,0.4748293663167377
01045,0.24352131826206952,1.170831322669983,-1.03023839198079,0.01732,0.6856545650100453,0.29213012421709716,0.5383329851681637
01047,0.6896727885769751,1.0148130655288696,-0.0671280159383919,0.01578,0.2731615111497101,0.4098998599076428,0.459236641221374
01049,0.27345393352965924,1.006805419921875,-1.24010176812503,0.01482,0.804361239657832,0.36854523488025015,0.4060637632840175
01051,0.24647540175490487,1.155271053314209,-0.577300937070171,0.01296,0.7315882874889086,0.1932747889400681,0.5412083504180557
01053,0.31033273065817524,1.0391499996185305,-0.250846796401359,0.01554,0.6023423374800982,0.3548065358326733,0.37406705595730694
01055,0.36740374508506246,1.1369140148162842,-0.313028537481133,0.01497,0.7786136956437109,0.2809977700155901,0.5169507996446024
01057,0.39408269673820784,1.348177194595337,-0.580127379846524,0.01137,0.8449739299139081,0.3230132245705104,0.4132923287203143
01059,0.13506642089874785,1.0387219190597534,-1.48176262550324,0.01146,0.7684802644123816,0.3016447474714835,0.4063311844510728
01061,0.3312261044024681,1.1614336967468262,-0.997027689358642,0.01518,0.8385130786993225,0.32856814349225816,0.4434083601286174
01063,0.3904372897645363,1.072615146636963,-0.117297375218664,0.01494,0.17239308024987987,0.5457413249211357,0.40600725012946653
01065,0.37139577284084,1.096311330795288,-0.835213840412413,0.01227,0.3953001553109596,0.3839340885684861,0.40630984779760104
